Timestamp,Open,High,Low,Close,Volume
2024-01-04 00:00:00,2209.72,2294.69,2201.91,2267.11,448844.055
2024-01-05 00:00:00,2267.11,2277.21,2206.17,2268.78,405568.0006
2024-01-06 00:00:00,2268.78,2270.0,2216.4,2240.78,194067.8656
2024-01-07 00:00:00,2240.77,2258.01,2203.46,2221.42,207138.6927
2024-01-08 00:00:00,2221.42,2358.2,2166.38,2330.44,539407.5547
2024-01-09 00:00:00,2330.43,2371.72,2226.78,2344.29,551454.9931
2024-01-10 00:00:00,2344.3,2643.1,2339.59,2584.38,1038388.666
2024-01-11 00:00:00,2584.37,2689.39,2566.01,2618.01,838712.2577
2024-01-12 00:00:00,2618.01,2717.32,2458.0,2522.54,887457.7627
2024-01-13 00:00:00,2522.55,2590.0,2497.5,2578.19,422061.232
2024-01-14 00:00:00,2578.18,2578.69,2470.0,2472.87,306207.7463
2024-01-15 00:00:00,2472.87,2553.82,2470.92,2511.78,315247.8819
2024-01-16 00:00:00,2511.79,2614.43,2500.05,2587.4,381077.6247
2024-01-17 00:00:00,2587.41,2592.97,2506.75,2530.19,366281.3477
2024-01-18 00:00:00,2530.2,2550.0,2428.56,2470.81,452090.1074
2024-01-19 00:00:00,2470.81,2504.2,2415.2,2492.0,424209.0029
2024-01-20 00:00:00,2491.99,2492.0,2454.2,2472.01,136620.9577
2024-01-21 00:00:00,2472.02,2482.18,2452.13,2457.05,122572.1687
2024-01-22 00:00:00,2457.06,2466.1,2303.59,2314.2,526337.6492
2024-01-23 00:00:00,2314.19,2352.23,2168.07,2242.6,700105.3314
2024-01-24 00:00:00,2242.6,2264.6,2196.12,2235.02,359851.1496
2024-01-25 00:00:00,2235.02,2242.89,2171.3,2218.64,330426.6061
2024-01-26 00:00:00,2218.64,2282.36,2195.84,2267.68,363566.4255
2024-01-27 00:00:00,2267.67,2282.94,2251.4,2267.94,145109.3836
2024-01-28 00:00:00,2267.94,2308.24,2239.89,2256.9,209326.9087
2024-01-29 00:00:00,2256.9,2322.34,2233.8,2317.6,305528.0776
2024-01-30 00:00:00,2317.61,2391.98,2297.0,2343.01,372879.5791
2024-01-31 00:00:00,2343.0,2351.6,2263.57,2283.14,397116.1859
2024-02-01 00:00:00,2283.15,2311.72,2240.0,2304.28,310997.4538
2024-02-02 00:00:00,2304.28,2324.74,2281.94,2309.06,238230.511
2024-02-03 00:00:00,2309.07,2329.98,2292.75,2296.49,133232.845
2024-02-04 00:00:00,2296.5,2311.0,2266.0,2289.79,171232.0444
2024-02-05 00:00:00,2289.79,2338.41,2269.11,2301.83,236610.412
2024-02-06 00:00:00,2301.84,2392.4,2299.0,2372.64,368942.7498
2024-02-07 00:00:00,2372.63,2444.44,2354.0,2425.1,342791.7013
2024-02-08 00:00:00,2425.09,2463.15,2411.01,2419.55,338040.0539
2024-02-09 00:00:00,2419.56,2525.0,2419.16,2486.56,492384.385
2024-02-10 00:00:00,2486.56,2516.45,2471.57,2500.24,185099.59
2024-02-11 00:00:00,2500.24,2539.63,2493.45,2507.21,219975.1471
2024-02-12 00:00:00,2507.22,2665.58,2472.0,2659.99,449501.776
2024-02-13 00:00:00,2659.99,2686.12,2590.0,2639.99,502447.745
2024-02-14 00:00:00,2639.99,2786.0,2618.4,2774.81,461670.6944
2024-02-15 00:00:00,2774.8,2867.65,2759.25,2822.59,481689.1874
2024-02-16 00:00:00,2822.58,2857.4,2740.0,2801.8,378070.8037
2024-02-17 00:00:00,2801.81,2804.21,2719.01,2785.93,243302.8759
2024-02-18 00:00:00,2785.92,2895.0,2764.25,2881.2,367987.8833
2024-02-19 00:00:00,2881.2,2984.52,2856.93,2944.8,446451.0401
2024-02-20 00:00:00,2944.8,3033.09,2874.56,3014.81,634681.7471
2024-02-21 00:00:00,3014.81,3017.15,2868.0,2967.9,595955.0033
2024-02-22 00:00:00,2967.91,3036.02,2906.51,2971.4,563525.9936
2024-02-23 00:00:00,2971.4,2993.8,2906.05,2922.24,428826.5787
2024-02-24 00:00:00,2922.25,3007.48,2906.4,2992.62,243854.0783
2024-02-25 00:00:00,2992.62,3122.0,2983.61,3112.59,412306.2237
2024-02-26 00:00:00,3112.6,3196.0,3036.59,3175.94,546722.7747
2024-02-27 00:00:00,3175.95,3288.14,3160.02,3242.36,625939.1221
2024-02-28 00:00:00,3242.35,3488.0,3176.16,3383.1,947538.766
2024-02-29 00:00:00,3383.11,3522.81,3300.0,3340.09,759698.1123
2024-03-01 00:00:00,3340.1,3450.0,3338.54,3433.43,412788.5773
2024-03-02 00:00:00,3433.42,3460.04,3390.01,3421.4,283984.9448
2024-03-03 00:00:00,3421.39,3491.8,3360.0,3487.81,341631.531
2024-03-04 00:00:00,3487.8,3640.94,3423.78,3627.76,715360.6361
2024-03-05 00:00:00,3627.75,3822.04,3200.0,3553.65,1392904.864
2024-03-06 00:00:00,3553.66,3900.0,3499.4,3818.59,969494.71
2024-03-07 00:00:00,3818.58,3933.81,3735.0,3868.76,540780.675
2024-03-08 00:00:00,3868.76,3993.75,3820.0,3883.36,646399.2589
2024-03-09 00:00:00,3883.37,3942.0,3870.01,3905.21,254839.1386
2024-03-10 00:00:00,3905.2,3964.67,3791.26,3878.47,356664.68
2024-03-11 00:00:00,3878.47,4086.23,3722.95,4064.8,721554.5139
2024-03-12 00:00:00,4064.8,4093.92,3828.98,3979.96,632787.3941
2024-03-13 00:00:00,3979.97,4083.0,3932.23,4004.79,482305.7766
2024-03-14 00:00:00,4004.79,4010.98,3723.0,3881.7,648237.5245
2024-03-15 00:00:00,3881.69,3934.02,3570.0,3742.19,947537.4071
2024-03-16 00:00:00,3742.19,3781.12,3468.8,3523.09,548288.1569
2024-03-17 00:00:00,3523.09,3678.68,3412.0,3644.71,517790.9936
2024-03-18 00:00:00,3644.7,3645.02,3454.09,3520.46,570901.2851
2024-03-19 00:00:00,3520.47,3548.09,3150.88,3158.64,1049629.6936
2024-03-20 00:00:00,3158.65,3535.24,3056.56,3516.53,1207322.8201
2024-03-21 00:00:00,3516.53,3587.32,3412.0,3492.85,602755.2072
2024-03-22 00:00:00,3492.84,3542.52,3250.0,3336.35,558848.888
2024-03-23 00:00:00,3336.35,3435.48,3270.08,3329.53,323675.9448
2024-03-24 00:00:00,3329.53,3471.22,3298.76,3454.98,260824.1408
2024-03-25 00:00:00,3454.99,3666.0,3420.12,3590.42,548577.6942
2024-03-26 00:00:00,3590.43,3678.86,3542.62,3587.33,499013.8384
2024-03-27 00:00:00,3587.32,3665.84,3460.02,3501.19,443195.3297
2024-03-28 00:00:00,3501.2,3611.78,3465.0,3560.49,404654.0311
2024-03-29 00:00:00,3560.49,3584.37,3445.91,3509.74,323086.179
2024-03-30 00:00:00,3509.74,3565.81,3485.0,3505.64,216025.2634
2024-03-31 00:00:00,3505.65,3655.32,3505.09,3645.29,243464.9877
2024-04-01 00:00:00,3645.29,3645.95,3413.71,3503.8,408854.1225
2024-04-02 00:00:00,3503.8,3505.6,3212.0,3278.96,623264.6476
2024-04-03 00:00:00,3278.96,3367.4,3202.79,3310.83,410484.1933
2024-04-04 00:00:00,3310.83,3443.93,3250.92,3327.4,356338.5716
2024-04-05 00:00:00,3327.39,3350.0,3210.0,3317.85,344556.7983
2024-04-06 00:00:00,3317.85,3398.42,3306.68,3351.59,183312.2125
2024-04-07 00:00:00,3351.59,3459.94,3344.08,3454.2,210459.0752
2024-04-08 00:00:00,3454.2,3730.71,3406.36,3694.61,496841.3532
2024-04-09 00:00:00,3694.61,3727.34,3450.46,3506.39,457592.252
2024-04-10 00:00:00,3506.4,3562.95,3411.82,3545.64,389404.9055
2024-04-11 00:00:00,3545.64,3618.3,3474.52,3502.52,338139.5534
2024-04-12 00:00:00,3502.52,3552.4,3100.0,3237.43,697327.1174
2024-04-13 00:00:00,3237.42,3301.9,2852.0,3007.01,994971.2354
2024-04-14 00:00:00,3007.01,3174.23,2906.73,3155.11,737580.4666
2024-04-15 00:00:00,3155.11,3277.85,3023.19,3101.99,605430.8863
2024-04-16 00:00:00,3102.0,3128.01,2986.0,3084.22,526113.855
2024-04-17 00:00:00,3084.21,3123.75,2914.47,2985.41,491897.5661
2024-04-18 00:00:00,2985.41,3094.4,2950.98,3064.4,389060.7133
2024-04-19 00:00:00,3064.4,3128.89,2865.18,3056.46,607850.4019
2024-04-20 00:00:00,3056.45,3171.88,3018.75,3155.79,242577.6371
2024-04-21 00:00:00,3155.79,3197.18,3116.49,3147.67,219970.5072
2024-04-22 00:00:00,3147.66,3235.0,3129.15,3200.2,290879.9569
2024-04-23 00:00:00,3200.19,3263.61,3152.0,3219.46,253914.2263
2024-04-24 00:00:00,3219.46,3293.56,3104.9,3140.8,393314.3414
2024-04-25 00:00:00,3140.79,3191.64,3072.2,3155.8,352288.5502
2024-04-26 00:00:00,3155.81,3167.7,3102.0,3131.3,252522.655
2024-04-27 00:00:00,3131.3,3285.0,3066.74,3255.56,323811.1919
2024-04-28 00:00:00,3255.55,3357.4,3250.45,3263.45,304766.009
2024-04-29 00:00:00,3263.44,3286.95,3115.13,3216.73,421831.2912
2024-04-30 00:00:00,3216.74,3250.95,2921.0,3014.05,561717.4866
2024-05-01 00:00:00,3014.04,3023.24,2817.0,2972.46,624963.7773
2024-05-02 00:00:00,2972.46,3016.72,2893.26,2986.19,365939.7191
2024-05-03 00:00:00,2986.19,3126.99,2958.32,3102.61,355825.8391
2024-05-04 00:00:00,3102.61,3168.0,3092.85,3117.23,196263.9488
2024-05-05 00:00:00,3117.24,3171.93,3072.99,3136.41,218760.2662
2024-05-06 00:00:00,3136.4,3221.4,3046.35,3062.6,355135.3027
2024-05-07 00:00:00,3062.59,3129.85,2998.0,3005.69,298796.6829
2024-05-08 00:00:00,3005.69,3038.15,2936.48,2974.21,266934.8125
2024-05-09 00:00:00,2974.2,3059.0,2950.77,3036.23,238561.7462
2024-05-10 00:00:00,3036.24,3053.89,2878.03,2909.99,327855.8758
2024-05-11 00:00:00,2909.98,2945.67,2886.46,2912.45,138163.1087
2024-05-12 00:00:00,2912.45,2955.2,2901.17,2929.29,107670.6323
2024-05-13 00:00:00,2929.3,2996.4,2864.76,2950.99,368664.7648
2024-05-14 00:00:00,2950.99,2960.6,2862.0,2881.93,269675.3037
2024-05-15 00:00:00,2881.93,3041.36,2863.75,3032.55,350254.3188
2024-05-16 00:00:00,3032.55,3041.24,2922.8,2944.7,293874.1513
2024-05-17 00:00:00,2944.7,3120.0,2933.06,3092.01,357724.7731
2024-05-18 00:00:00,3092.0,3146.98,3083.61,3122.94,199976.5456
2024-05-19 00:00:00,3122.94,3136.64,3053.38,3071.19,166145.0102
2024-05-20 00:00:00,3071.2,3694.0,3047.67,3661.78,847107.8828
2024-05-21 00:00:00,3661.79,3841.54,3624.28,3789.6,952437.2694
2024-05-22 00:00:00,3789.59,3813.69,3653.15,3737.73,574938.3099
2024-05-23 00:00:00,3737.72,3949.29,3498.0,3783.61,1127866.076
2024-05-24 00:00:00,3783.6,3829.61,3626.1,3728.28,479418.4318
2024-05-25 00:00:00,3728.28,3779.43,3709.03,3749.26,158711.8992
2024-05-26 00:00:00,3749.25,3884.2,3731.17,3826.47,292208.2937
2024-05-27 00:00:00,3826.47,3977.0,3823.37,3894.22,363717.6473
2024-05-28 00:00:00,3894.21,3931.09,3773.9,3844.69,416249.8344
2024-05-29 00:00:00,3844.69,3888.55,3742.59,3767.43,334759.6348
2024-05-30 00:00:00,3767.44,3825.35,3702.58,3747.91,277034.2894
2024-05-31 00:00:00,3747.9,3849.94,3723.75,3762.29,273406.766
2024-06-01 00:00:00,3762.29,3833.3,3752.67,3815.82,132687.2006
2024-06-02 00:00:00,3815.82,3838.59,3752.62,3780.91,210295.4407
2024-06-03 00:00:00,3780.92,3849.99,3758.43,3767.06,248848.702
2024-06-04 00:00:00,3767.07,3831.65,3730.0,3810.23,232063.7468
2024-06-05 00:00:00,3810.23,3887.47,3777.33,3865.99,273738.6035
2024-06-06 00:00:00,3866.0,3878.6,3760.0,3813.46,237504.1905
2024-06-07 00:00:00,3813.47,3841.39,3600.0,3678.32,362223.3594
2024-06-08 00:00:00,3678.31,3709.5,3660.08,3681.57,140550.8394
2024-06-09 00:00:00,3681.58,3721.52,3666.36,3706.4,103451.102
2024-06-10 00:00:00,3706.4,3713.67,3642.74,3667.85,156363.1846
2024-06-11 00:00:00,3667.85,3673.0,3432.0,3497.33,439568.5978
2024-06-12 00:00:00,3497.33,3659.01,3462.07,3560.12,387043.774
2024-06-13 00:00:00,3560.13,3561.65,3428.0,3469.4,300230.8299
2024-06-14 00:00:00,3469.4,3532.61,3362.26,3481.8,322316.4214
2024-06-15 00:00:00,3481.8,3594.39,3473.1,3568.74,246649.5894
2024-06-16 00:00:00,3568.75,3653.79,3541.05,3624.41,149839.982
2024-06-17 00:00:00,3624.41,3638.37,3463.39,3511.46,337805.6402
2024-06-18 00:00:00,3511.47,3517.2,3355.0,3483.42,449913.3014
2024-06-19 00:00:00,3483.42,3590.01,3465.65,3560.51,321500.0027
2024-06-20 00:00:00,3560.51,3625.96,3486.0,3513.08,329117.8453
2024-06-21 00:00:00,3513.08,3547.55,3446.82,3518.5,342155.102
2024-06-22 00:00:00,3518.5,3521.19,3475.09,3495.75,115774.6157
2024-06-23 00:00:00,3495.76,3521.45,3406.38,3420.91,133411.4304
2024-06-24 00:00:00,3420.91,3435.76,3240.0,3352.73,543370.4229
2024-06-25 00:00:00,3352.74,3430.88,3336.76,3394.91,240036.2236
2024-06-26 00:00:00,3394.91,3426.75,3325.01,3371.44,206949.3418
2024-06-27 00:00:00,3371.77,3477.0,3361.74,3450.44,201041.6609
2024-06-28 00:00:00,3450.44,3487.7,3365.22,3380.15,221634.3435
2024-06-29 00:00:00,3380.15,3408.32,3371.86,3378.8,88329.7651
2024-06-30 00:00:00,3378.8,3460.0,3352.66,3438.16,141221.6185
2024-07-01 00:00:00,3438.16,3524.94,3423.78,3442.2,224273.2122
2024-07-02 00:00:00,3442.2,3464.12,3402.0,3421.35,137932.7014
2024-07-03 00:00:00,3421.35,3432.1,3251.0,3295.48,310408.451
2024-07-04 00:00:00,3295.49,3313.45,3050.34,3059.7,450402.5692
2024-07-05 00:00:00,3059.7,3110.0,2810.0,2981.78,886994.3753
2024-07-06 00:00:00,2981.79,3081.78,2955.06,3066.83,214487.9713
2024-07-07 00:00:00,3066.83,3073.08,2922.24,2931.0,179892.7612
2024-07-08 00:00:00,2930.99,3097.06,2822.8,3019.01,500445.0105
2024-07-09 00:00:00,3019.01,3115.2,3004.0,3066.65,280358.1424
2024-07-10 00:00:00,3066.65,3151.51,3024.0,3101.05,270827.0844
2024-07-11 00:00:00,3101.06,3217.24,3054.76,3099.57,289229.32
2024-07-12 00:00:00,3099.57,3157.89,3045.58,3133.88,185745.1825
2024-07-13 00:00:00,3133.89,3201.8,3113.37,3175.93,119302.4769
2024-07-14 00:00:00,3175.93,3268.72,3163.67,3245.08,165430.7716
2024-07-15 00:00:00,3245.2,3493.63,3233.22,3483.39,314296.8452
2024-07-16 00:00:00,3483.2,3498.59,3346.55,3444.13,376128.7869
2024-07-17 00:00:00,3444.14,3517.0,3376.0,3387.05,297812.5162
2024-07-18 00:00:00,3387.05,3489.98,3367.2,3426.5,241950.3457
2024-07-19 00:00:00,3426.49,3540.27,3377.0,3503.53,299511.6422
2024-07-20 00:00:00,3503.53,3539.65,3480.0,3517.5,147510.8165
2024-07-21 00:00:00,3517.5,3547.0,3411.4,3535.92,218890.9656
2024-07-22 00:00:00,3535.93,3562.82,3422.34,3439.6,207859.5043
2024-07-23 00:00:00,3439.61,3541.0,3389.0,3482.51,500568.7811
2024-07-24 00:00:00,3482.51,3487.82,3357.4,3368.55,213699.7404
